id,code,name,city,state,country
3463,BEF,"Bluefields Airport",Bluefields,,Nicaragua
3464,BOQ,"Boku Airport",Boku,,"Papua New Guinea"
3465,CAU,"Oscar Laranjeias Airport",Caruaru,Pernambuco,Brazil
3466,CMJ,"Cimei Airport",Cimei,,Taiwan
3467,CZF,"Cape Romanzof Long Range Radar Station","Cape Romanzof",Alaska,"United States"
3468,EUG,"Eugene Airport / Mahlon Sweet Field",Eugene,Oregon,"United States"
3469,GAJ,"Yamagata Airport (Junmachi Airport)",Yamagata,,Japão
3470,GSY,"RAF Binbrook",Grimsby,England,"United Kingdom"
3471,HOC,"Komako Airport",Komako,,"Papua New Guinea"
3472,INF,"In Guezzam Airport","In Guezzam",,Algeria
3473,JMY,"Mammy Yoko Heliport",Freetown,,"Sierra Leone"
3474,KIB,"Ivanof Bay Seaplane Base","Ivanof Bay",Alaska,"United States"
3475,KUL,"Kuala Lumpur International Airport",Sepang,,Malaysia
3476,LIX,"Likoma Island Airport (Likoma Airport)","Likoma Island",,Malawi
3477,LYB,"Edward Bodden Airfield","Little Cayman",,"Cayman Islands"
3478,MJM,"Mbuji Mayi Airport","Mbuji Mayi",,"Democratic Republic of the Congo"
3479,MUP,"Mulga Park Airport","Mulga Park","Northern Territory",Australia
3480,PAT,"Lok Nayak Jayaprakash Airport (Patna Airport)",Patna,,India
3481,PUF,"Pau Pyrénées Airport",Pau,,France
3482,RRK,"Rourkela Airport",Rourkela,,India
3483,TDD,"Teniente Jorge Henrich Arauz Airport",Trinidad,,Bolivia
3484,UDE,"Volkel Air Base",Uden,Noord-Brabant,Netherlands
3485,WGO,"Winchester Regional Airport",Winchester,Virginia,"United States"
3486,YRL,"Red Lake Airport","Red Lake",Ontario,Canada
3487,ZVG,"Springvale Airport",Springvale,"Western Australia",Australia
3488,AFL,"Alta Floresta Airport","Alta Floresta",,Brazil
3489,ARZ,"N'zeto Airport",N'zeto,,Angola
3490,BEG,"Belgrade Nikola Tesla Airport",Belgrade,,Serbia
3491,BOR,"Belfort - Fontaine Airport",Belfort,,France
3492,CAV,"Cazombo Airport",Cazombo,,Angola
3493,CMK,"Club Makokola Airport","Club Makokola",,Malawi
3494,CZH,"Corozal Airport",Corozal,,Belize
3495,DUK,"Dukuduk Airport",Dukuduk,,"South Africa"
3496,EUM,"Wasbek Airport",Neumünster,Schleswig-Holstein,Germany
3497,GAL,"Edward G. Pitka Sr. Airport",Galena,Alaska,"United States"
3498,GTA,"Gatokae Airport",Gatokae,,"Solomon Islands"
3499,HOD,"Hodeida International Airport","Al Hudaydah (Hodeida)",,Yemen
3500,ING,"Lago Argentino Airport (closed 2006)","El Calafate","Santa Cruz",Argentina
3501,JNA,"Januária Airport",Januária,"Minas Gerais",Brazil
3502,KIC,"Mesa Del Rey Airport","King City",California,"United States"
3503,KUM,"Yakushima Airport",Yakushima,"Kagoshima Prefecture",Japão
3504,LYC,"Lycksele Airport",Lycksele,,Sweden
3505,MUQ,"Muccan Station Airport","Muccan Station","Western Australia",Australia
3506,NSE,"NAS Whiting Field - North",Milton,Florida,"United States"
3507,PAZ,"El Tajín NATIONAL Airport","Poza Rica",Veracruz,Mexico
3508,PUI,"Purini Airport",Purini,,"Papua New Guinea"
3509,RRL,"Merrill Municipal Airport",Merrill,Wisconsin,"United States"
3510,SMF,"Sacramento International Airport",Sacramento,California,"United States"
3511,TDG,"Tandag Airport",Tandag,"Surigao del Sur",Philippines
3512,UDI,"Uberlandia Airport",Uberlândia,"Minas Gerais",Brazil
3513,WGP,"Mau Hau Airport",Waingapu,Sumba,Indonesia
3514,YCS,"Chesterfield Inlet Airport","Chesterfield Inlet",Nunavut,Canada
3515,YRM,"Rocky Mountain House Airport","Rocky Mountain House",Alberta,Canada
3516,ZVK,"Savannakhet Airport",Savannakhet,,Laos
3517,AFN,"Jaffrey Airport - Silver Ranch Airpark",Jaffrey,"New Hampshire","United States"
3518,ASA,"Assab International Airport",Assab,,Eritrea
3519,BEH,"Southwest Michigan Regional Airport","Benton Harbor",Michigan,"United States"
3520,BOS,"Logan International Airport",Boston,Massachusetts,"United States"
3521,CAW,"Bartolomeu Lysandro Airport","Campos dos Goytacazes","Rio de Janeiro",Brazil
3522,CML,"Camooweal Airport",Camooweal,Queensland,Australia
3523,CZJ,"Corazon de Jesus Airport","Corazon de Jesus",,Panamá
3524,DUM,"Pinang Kampai Airport",Dumai,Sumatra,Indonesia
3525,EUN,"Hassan I Airport","El Aaiún (Laayoune)",,Morocco
3526,GAM,"Gambell Airport",Gambell,Alaska,"United States"
3527,GTB,"Genting Airport",Genting,,Malaysia
3528,HOE,"Ban Huoeisay Airport",Houeisay,,Laos
3529,INH,"Inhambane Airport",Inhambane,,Mozambique
3530,JNB,"OR Tambo International Airport",Johannesburg,Gauteng,"South Africa"
3531,KID,"Kristianstad Airport",Kristianstad,,Sweden
3532,KUN,"Kaunas International Airport",Kaunas,,Lithuania
3533,LIZ,"Loring International Airport (was Loring AFB)",Limestone,Maine,"United States"
3534,LYE,"RAF Lyneham",Wiltshire,England,"United Kingdom"
3535,MJP,"Manjimup Airport",Manjimup,"Western Australia",Australia
3536,MUR,"Marudi Airport",Marudi,Sarawak,Malaysia
3537,NSI,"Yaoundé Nsimalen International Airport",Yaoundé,,Cameroon
3538,PBC,"Hermanos Serdán International Airport",Puebla,,Mexico
3539,PUJ,"Punta Cana International Airport","Punta Cana",,"Dominican Republic"
3540,RRR,"Raroia Airport",Raroia,,"French Polynesia"
3541,SMH,"Sapmanga Airport",Sapmanga,,"Papua New Guinea"
3542,TDK,"Taldykorgan Airport",Taldykorgan,,Kazakhstan
3543,UDR,"Udaipur Airport",Udaipur,,India
3544,WHD,"Hyder Seaplane Base",Hyder,Alaska,"United States"
3545,YCT,"Coronation Airport",Coronation,Alberta,Canada
3546,YRN,"Rivers Inlet Airport","Rivers Inlet","British Columbia",Canada
3547,ZWA,"Andapa Airport",Andapa,,Madagascar
3548,AFO,"Afton Municipal Airport",Afton,Wyoming,"United States"
3549,ASB,"Ashgabat Airport",Ashgabat,,Turkmenistan
3550,BEI,"Beica Airport",Beica,,Ethiopia
3551,BOT,"Boset Airport",Boset,,"Papua New Guinea"
3552,CAX,"Carlisle Lake District Airport",Carlisle,England,"United Kingdom"
3553,CMM,"Carmelita Airport",Carmelita,"El Petén",Guatemala
3554,CZK,"Cascade Locks State Airport","Cascade Locks",Oregon,"United States"
3555,DUN,"Dundas Airport",Dundas,,Greenland
3556,EUQ,"Evelio Javier (Antique) Airport","San Jose de Buenavista",Antique,Philippines
3557,GAN,"Gan Island Airport","Gan Island","Seenu Atoll",Maldives
3558,GTC,"Green Turtle Airport","Green Turtle",,Bahamas
3559,HOF,"al-Ahsa Airport (al-Hasa Airport)",Hofuf,,"Saudi Arabia"
3560,INI,"Niš Constantine the Great Airport",Niš,,Serbia
3561,JNG,"Jining Airport",Jining,Shandong,China
3562,KIE,"Aropa Airport",Kieta,"Bougainville Island","Papua New Guinea"
3563,KUO,"Kuopio Airport","Kuopio / Siilinjärvi",,Finland
3564,LJA,"Lodja Airport",Lodja,,"Democratic Republic of the Congo"
3565,LYG,"Lianyungang Baitabu Airport",Lianyungang,Jiangsu,China
3566,MJQ,"Jackson Municipal Airport",Jackson,Minnesota,"United States"
3567,MUS,"Minami Torishima Airport",Minami-Tori-shima,,Japão
3568,NSK,"Norilsk Alykel Airport",Norilsk,,Russia
3569,PBF,"Grider Field","Pine Bluff",Arkansas,"United States"
3570,PUK,"Pukarua Airport",Pukarua,Tuamotus,"French Polynesia"
3571,RRS,"Røros Airport",Røros,,Norway
3572,ZWL,"Wollaston Lake Airport","Wollaston Lake",Saskatchewan,Canada
3573,AFR,"Afore Airport",Afore,,"Papua New Guinea"
3574,ASC,"Ascensión de Guarayos Airport","Ascención de Guarayos",,Bolivia
3575,BEJ,"Berau Airport (Kalimaru Airport)","Tanjung Redeb",Berau,Indonesia
3576,BOU,"Bourges Airport",Bourges,,France
3577,CAY,"Cayenne-Rochambeau Airport",Cayenne,,"French Guiana"
3578,CMN,"Mohammed V International Airport",Casablanca,,Morocco
3579,CZL,"Mohamed Boudiaf International Airport",Constantine,,Algeria
3580,DUQ,"Duncan Airport",Duncan,"British Columbia",Canada
3581,EUX,"F.D. Roosevelt Airport","Sint Eustatius",,"Caribbean Netherlands"
3582,GAO,"Mariana Grajales Airport (Los Canos Airport)",Guantánamo,,Cuba
3583,GTE,"Groote Eylandt Airport","Groote Eylandt","Northern Territory",Australia
3584,HOG,"Frank País Airport",Holguín,,Cuba
3585,INJ,"Injune Airport",Injune,Queensland,Australia
3586,JNI,"Junín Airport",Junín,"Buenos Aires",Argentina
3587,KIF,"Kingfisher Lake Airport","Kingfisher Lake",Ontario,Canada
3588,KUP,"Kupiano Airport",Kupiano,,"Papua New Guinea"
3589,LJG,"Lijiang Sanyi Airport","Lijiang City",Yunnan,China
3590,MJR,"Miramar Airport",Miramar,"Buenos Aires",Argentina
3591,MUT,"Muscatine Municipal Airport",Muscatine,Iowa,"United States"
3592,NSN,"Nelson Airport",Nelson,,"New Zealand"
3593,PBG,"Plattsburgh International Airport",Plattsburgh,"New York","United States"
3594,PUL,"PORT of Poulsbo Marina Moorage Seaplane Base",Poulsbo,Washington,"United States"
3595,SMK,"St. Michael Airport","St. Michael",Alaska,"United States"
3596,UES,"Waukesha County Airport",Waukesha,Wisconsin,"United States"
3597,WHK,"Whakatane Airport",Whakatane,,"New Zealand"
3598,YCV,"Cartierville Airport",Cartierville,Quebec,Canada
3599,YRQ,"Trois-Rivières Airport",Trois-Rivières,Quebec,Canada
3600,ZWS,"Stuttgart Hauptbahnhof",Stuttgart,,Germany
3601,AFS,"Zarafshan Airport",Zarafshan,"Navoiy Province",Uzbekistan
3602,ASD,"Andros Town International Airport","Andros Island",,Bahamas
3603,BEK,"Bareli Airport",Bareli,,India
3604,BOV,"Boang Airport",Boang,,"Papua New Guinea"
3605,CAZ,"Cobar Airport",Cobar,"New South Wales",Australia
3606,CMO,"Obbia Airport",Obbia,,Somalia
3607,CZM,"Cozumel International Airport",Cozumel,"Quintana Roo",Mexico
3608,DUR,"King Shaka International Airport",Durban,KwaZulu-Natal,"South Africa"
3609,EVA,"Ben Bruce Memorial Airpark",Evadale,Texas,"United States"
3610,GAP,"Gusap Airport",Gusap,,"Papua New Guinea"
3611,GTF,"Great Falls International Airport","Great Falls",Montana,"United States"
3612,HOH,"Hohenems-Dornbirn Airport",Hohenems,,Austria
3613,INK,"Winkler County Airport",Wink,Texas,"United States"
3614,JNJ,"Duqm Jaaluni Airport",Duqm,,Oman
3615,KIG,"Koingnaas Airport",Koingnaas,,"South Africa"
3616,KUQ,"Kuri Airport",Kuri,,"Papua New Guinea"
3617,LJN,"Brazoria County Airport","Angleton / Lake Jackson",Texas,"United States"
3618,LYI,"Linyi Shubuling Airport",Linyi,Shandong,China
3619,MJT,"Mytilene International Airport",Mytilene,"Lesbos Island",Greece
3620,MUW,"Ghriss Airport",Ghriss,,Algeria
3621,NSQ,"Nuussuaq Heliport",Nuussuaq,,Greenland
3622,PBH,"Paro Airport",Paro,,Bhutan
3623,PUO,"Northstar Heliport","Prudhoe Bay / Deadhorse",Alaska,"United States"
3624,RSA,"Santa Rosa Airport","Santa Rosa",,Argentina
3625,SMM,"Semporna Airport",Sabah,,Malaysia
3626,TDS,"Sasereme Airport",Sasereme,,"Papua New Guinea"
3627,UET,"Quetta International Airport",Quetta,,Pakistan
3628,WHP,"Whiteman Airport","Los Angeles",California,"United States"
3629,YCW,"Chilliwack Airport",Chilliwack,"British Columbia",Canada
3630,YRR,"Stuart Island Airport","Stuart Island","British Columbia",Canada
3631,ZYI,"Zunyi Airport",Zunyi,Guizhou,China
3632,AFT,"Afutara Airport",Afutara,,"Solomon Islands"
3633,ASE,"Aspen-Pitkin County Airport (Sardy Field)",Aspen,Colorado,"United States"
3634,BEL,"Val de Cães International Airport",Belém,Pará,Brazil
3635,BOW,"Bartow Municipal Airport",Bartow,Florida,"United States"
3636,CBB,"Jorge Wilstermann International Airport",Cochabamba,,Bolivia
3637,CMP,"Campo Alegre Airport","Santana do Araguaia",Pará,Brazil
3638,CZN,"Chisana Airport",Chisana,Alaska,"United States"
3639,DUS,"Düsseldorf International Airport",Düsseldorf,"North Rhine-Westphalia",Germany
3640,EVD,"Eva Downs Airport","Eva Downs","Northern Territory",Australia
3641,GAQ,"Gao International Airport",Gao,,Mali
3642,GTG,"Grantsburg Municipal Airport",Grantsburg,Wisconsin,"United States"
3643,HOI,"Hao Airport",Hao,"Tuamotu Island","French Polynesia"
3644,INL,"Falls International Airport","International Falls",Minnesota,"United States"
3645,JNN,"Nanortalik Heliport",Nanortalik,,Greenland
3646,KIH,"Kish International Airport","Kish Island",,Iran
3647,KUR,"Razer Airport","Kron Monjan (Karanomunjan)",,Afghanistan
3648,LJU,"Ljubljana Jože Pu?nik Airport (Brnik Airport)",Ljubljana,,Slovenia
3649,LYK,"Lunyuk Airport",Lunyuk,,Indonesia
3650,MJU,"Mamuju Airport",Mamuju,"West Sulawesi",Indonesia
3651,MUX,"Multan International Airport",Multan,,Pakistan
3652,NSY,"Sigonella Airport",Catania,,Italy
3653,PBI,"Palm Beach International Airport","West Palm Beach",Florida,"United States"
3654,PUP,"Pô Airport",Pô,,"Burkina Faso"
3655,RSH,"Russian Mission Airport","Russian Mission",Alaska,"United States"
3656,SMN,"Lemhi County Airport",Salmon,Idaho,"United States"
3657,TDW,"Tradewind Airport",Amarillo,Texas,"United States"
3658,UFA,"Ufa Airport",Ufa,Bashkortostan,Russia
3659,WHT,"Wharton Regional Airport",Wharton,Texas,"United States"
3660,YCX,"CFB Gagetown",Gagetown,"New Brunswick",Canada
3661,YRS,"Red Sucker Lake Airport","Red Sucker Lake",Manitoba,Canada
3662,ZYL,"Osmani International Airport",Sylhet,,Bangladesh
3663,AFW,"Fort Worth Alliance Airport","Fort Worth",Texas,"United States"
3664,ASF,"Narimanovo Airport",Astrakhan,,Russia
3665,BEM,"Bossembélé Airport",Bossembélé,,"Central African Republic"
3666,BOX,"Borroloola Airport",Borroloola,"Northern Territory",Australia
3667,CBC,"Cherrabun Airport",Cherrabun,"Western Australia",Australia
3668,CMQ,"Clermont Airport",Clermont,Queensland,Australia
3669,CZO,"Chistochina Airport",Chistochina,Alaska,"United States"
3670,DUT,"Unalaska Airport",Unalaska,Alaska,"United States"
3671,EVE,"Harstad/Narvik Airport, Evenes",Evenes,,Norway
3672,GAR,"Garaina Airport",Garaina,,"Papua New Guinea"
3673,GTI,"Rügen Airport",Güttin,Mecklenburg-Vorpommern,Germany
3674,HOK,"Lajamanu Airport (Hooker Creek Airport)",Lajamanu,"Northern Territory",Australia
3675,INM,"Innamincka Airport",Innamincka,"South Australia",Australia
3676,JNP,"Newport Beach Heliport","Newport Beach",California,"United States"
3677,KII,"Kibuli Airport",Kibuli,,"Papua New Guinea"
3678,KUS,"Kulusuk Airport",Kulusuk,,Greenland
3679,LKA,"Gewayenta Airport",Larantuka,,Indonesia
3680,LYM,"Lympne Airport",Lympne,Kent,"United Kingdom"
3681,MJV,"Murcia-San Javier Airport",Murcia,,Spain
3682,MUY,"Mouyondzi Airport",Mouyondzi,,"Republic of the Congo"
3683,NTB,"Notodden Airport, Tuven",Notodden,,Norway
3684,PBM,"Johan Adolf Pengel International Airport",Zanderij,,Suriname
3685,PUQ,"Carlos Ibanez Del Campo International Airport","Punta Arenas",,Chile
3686,RSJ,"Rosario Seaplane Base","Orcas Island",Washington,"United States"
3687,SMO,"Santa Monica Municipal Airport","Santa Monica",California,"United States"
3688,TDX,"Trat Airport",Trat,,Thailand
3689,UGA,"Bulgan Airport",Bulgan,,Mongolia
3690,WIC,"Wick Airport",Wick,Scotland,"United Kingdom"
3691,YCY,"Clyde River Airport","Clyde River",Nunavut,Canada
3692,YRT,"Rankin Inlet Airport","Rankin Inlet",Nunavut,Canada
3693,ZZU,"Mzuzu Airport",Mzuzu,,Malawi
3694,AFY,"Afyon Airport",Afyon,,Turkey
3695,ASG,"Ashburton Airport",Ashburton,,"New Zealand"
3696,BEN,"Benina International Airport",Benghazi,,Libya
3697,BOY,"Bobo Dioulasso Airport",Bobo-Dioulasso,,"Burkina Faso"
3698,CBD,"Car Nicobar Air Force Base","Car Nicobar",,India
3699,CMR,"Colmar - Houssen Airport","Colmar / Houssen",,France
3700,CZP,"Cape Pole Seaplane Base","Cape Pole",Alaska,"United States"
3701,DVA,"Deva Airport",Deva,,Romania
3702,EVG,"Sveg Airport",Sveg,,Sweden
3703,GAS,"Garissa Airport",Garissa,,Kenya
3704,GTK,"Sungei Tekai Airport","Sungei Tekai",,Malaysia
3705,HOM,"Homer Airport",Homer,Alaska,"United States"
3706,INN,"Innsbruck Airport (Kranebitten Airport)",Innsbruck,,Austria
3707,JNS,"Narsaq Heliport",Narsaq,,Greenland
3708,KIJ,"Niigata Airport",Niigata,,Japão
3709,KUT,"Kopitnari Airport (Kutaisi Airport)",Kutaisi,Imereti,Georgia
3710,LKB,"Lakeba Island Airport","Lakeba Island",,Fiji
3711,LYN,"Lyon Bron Airport",Lyon,,France
3712,MJX,"Robert J.Miller Air Park","Toms River","New Jersey","United States"
3713,MUZ,"Musoma Airport",Musoma,,Tanzania
3714,NTD,"NAS POINT Mugu (Naval Base Ventura County)","POINT Mugu",California,"United States"
3715,PBO,"Paraburdoo Airport",Paraburdoo,"Western Australia",Australia
3716,PUS,"Gimhae International Airport",Busan,,"South Korea"
3717,RSL,"Russell Municipal Airport",Russell,Kansas,"United States"
3718,SMQ,"Sampit Airport",Sampit,"Central Kalimantan (Borneo)",Indonesia
3719,TDZ,"Metcalf Field",Toledo,Ohio,"United States"
3720,UGB,"Ugashik Bay Airport","Pilot Point",Alaska,"United States"
3721,WIE,"Wiesbaden Army Airfield",Wiesbaden,Hessen,Germany
3722,YCZ,"Fairmont Hot Springs Airport","Fairmont Hot Springs","British Columbia",Canada
3723,YRV,"Revelstoke Airport",Revelstoke,"British Columbia",Canada
3724,ZZV,"Zanesville Municipal Airport",Zanesville,Ohio,"United States"
3725,AGA,"Al Massira Airport",Agadir,,Morocco
3726,ASH,"Boire Field",Nashua,"New Hampshire","United States"
3727,BEO,"Newcastle - Belmont Airport",Newcastle,"New South Wales",Australia
3728,BOZ,"Bozoum Airport",Bozoum,,"Central African Republic"
3729,CBE,"Greater Cumberland Regional Airport",Cumberland,Maryland,"United States"
3730,CMS,"Scusciuban Airport",Scusciuban,,Somalia
3731,CZS,"Cruzeiro do Sul International Airport","Cruzeiro do Sul",Acre,Brazil
3732,DVD,"Andavadoaka Airport",Andavadoaka,"Toliara province",Madagascar
3733,EVH,"Evans Head Memorial Aerodrome","Evans Head","New South Wales",Australia
3734,GAT,"Tallard Airport",Gap,,France
3735,GTN,"Glentanner Aerodrome","Mount Cook",,"New Zealand"
3736,HON,"Huron Regional Airport",Huron,"South Dakota","United States"
3737,INO,"Inongo Airport",Inongo,,"Democratic Republic of the Congo"
3738,JNU,"Juneau International Airport",Juneau,Alaska,"United States"
3739,KIK,"Kirkuk Airport",Kirkuk,,Iraq
3740,KUU,"Bhuntar Airport (Kullu Airport)","Kullu / Bhuntar","Himachal Pradesh",India
3741,LKC,"Lekana Airport",Lekana,,"Republic of Congo"
3742,LYO,"Lyons - Rice County Municipal Airport",Lyons,Kansas,"United States"
3743,MJZ,"Mirny Airport",Mirny,"Sakha Republic",Russia
3744,MVA,"Reykjahlid Airport (Reykjahlíð Airport)",Myvatn,,Iceland
3745,NTE,"Nantes Atlantique Airport",Nantes,,France
3746,PBP,"Punta Islita Airport","Punta Islita",,"Costa Rica"
3747,PUU,"Tres de Mayo Airport","Puerto Asís",,Colombia
3748,RSN,"Ruston Regional Airport",Ruston,Louisiana,"United States"
3749,SMR,"Simón Bolívar International Airport","Santa Marta",,Colombia
3750,TEB,"Teterboro Airport",Teterboro,"New Jersey","United States"
3751,UGC,"Urgench International Airport",Urgench,,Uzbekistan
3752,WIL,"Wilson Airport",Nairobi,,Kenya
3753,YDA,"Dawson City Airport","Dawson City",Yukon,Canada
3754,YSA,"Sable Island Airport","Sable Island","Nova Scotia",Canada
3755,QKL,"Köln Hauptbahnhof",Cologne,,Germany
3756,AGB,"Augsburg Airport",Augsburg,Bavaria,Germany
3757,ASI,"Wideawake Field",Georgetown,"Ascension Island","Saint Helena"
3758,BEP,"Bellary Airport",Bellary,,India
3759,BPB,"Boridi Airport",Boridi,,"Papua New Guinea"
3760,CBF,"Council Bluffs Municipal Airport","Council Bluffs",Iowa,"United States"
3761,CMT,"Cameta Airport",Cameta,Pará,Brazil
3762,CZT,"Dimmit County Airport","Carrizo Springs",Texas,"United States"
3763,DVL,"Devils Lake Municipal Airport","Devils Lake","North Dakota","United States"
3764,EVM,"Eveleth-Virginia Municipal Airport",Eveleth,Minnesota,"United States"
3765,GTO,"Jalaluddin Airport",Gorontalo,,Indonesia
3766,HOO,"Nhon Co Airport","Quanduc (Quang Duc)",,Vietnam
3767,INQ,"Inisheer Airport",Inisheer,,Ireland
3768,JNX,"Naxos Island National Airport","Naxos Island",,Greece
3769,KIL,"Kilwa Airport",Kilwa,,"Democratic Republic of the Congo"
3770,KUV,"Gunsan Airport",Gunsan,,"South Korea"
3771,LKD,"Lakeland Downs Airport","Lakeland Downs",Queensland,Australia
3772,LYP,"Faisalabad International Airport",Faisalabad,,Pakistan
3773,MKA,"Mariánské Lázn? Airport","Mariánské Lázn?",,"Czech Republic"
3774,MVB,"Franceville/Mvengue Airport","Franceville / Mvengue",,Gabon
3775,NTJ,"Manti-Ephraim Airport",Manti,Utah,"United States"
3776,PBV,"Porto dos Gauchos Airport","Porto dos Gaúchos","Mato Grosso",Brazil
3777,PUW,"Pullman - Moscow Regional Airport",Pullman,Washington,"United States"
3778,RST,"Rochester International Airport",Rochester,Minnesota,"United States"
3779,SMS,"Sainte Marie Airport","Île Sainte-Marie",,Madagascar
3780,TED,"Thisted Airport",Thisted,,Denmark
3781,UGI,"Uganik Airport","Uganik Island",,"United States"
3782,WJA,"Woja Airport",Woja,,"Marshall Islands"
3783,YDB,"Burwash Airport","Burwash Landing",Yukon,Canada
3784,YSB,"Sudbury Airport","Greater Sudbury",Ontario,Canada
3785,BNJ,"Bonn Hauptbahnhof","Sankt Augustin",,Germany
3786,AGC,"Allegheny County Airport",Pittsburgh,Pennsylvania,"United States"
3787,ASJ,"Amami Airport","Amami Island",,Japão
3788,BEQ,"RAF Honington","Bury St. Edmunds",England,"United Kingdom"
3789,BPC,"Bamenda Airport",Bamenda,,Cameroon
3790,CBG,"Cambridge Airport",Cambridge,England,"United Kingdom"
3791,CMU,"Chimbu Airport",Kundiawa,,"Papua New Guinea"
3792,CZU,"Las Brujas Airport",Corozal,,Colombia
3793,DVN,"Davenport Municipal Airport",Davenport,Iowa,"United States"
3794,EVN,"Zvartnots International Airport",Yerevan,,Armenia
3795,GAV,"Gag Island Airport","Gag Island","West Papua",Indonesia
3796,GTR,"Golden Triangle Regional Airport","Columbus/West Point/Starkville",Mississippi,"United States"
3797,HOP,"Campbell Army Airfield","Fort Campbell / Hopkinsville",Kentucky,"United States"
3798,INR,"Kincheloe Air Force Base (closed 1977)","Sault Ste. Marie",Michigan,"United States"
3799,JNZ,"Jinzhou Airport",Jinzhou,Liaoning,China
3800,KIM,"Kimberley Airport",Kimberley,,"South Africa"
3801,KUZ,"Kuummiit Heliport",Kuummiit,,Greenland
3802,LKE,"Kenmore Air Harbor Seaplane Base",Seattle,Washington,"United States"
3803,LYR,"Svalbard Airport, Longyear",Longyearbyen,Svalbard,Norway
3804,MKB,"Mekambo Airport",Mekambo,,Gabon
3805,MVC,"Monroe County Airport",Monroeville,Alabama,"United States"
3806,NTL,"Newcastle Airport / RAAF Base Williamtown",Newcastle,"New South Wales",Australia
3807,PBX,"Porto Alegre DO Norte Airport","Porto Alegre DO Norte","Mato Grosso",Brazil
3808,PUY,"Pula Airport",Pula,,Croatia
3809,RSW,"Southwest Florida International Airport","Fort Myers",Florida,"United States"
3810,SMU,"Sheep Mountain Airport","Sheep Mountain",Alaska,"United States"
3811,TEG,"Tenkodogo Airport",Tenkodogo,,"Burkina Faso"
3812,UGN,"Waukegan Regional Airport","Chicago / Waukegan",Illinois,"United States"
3813,WJF,"General William J. Fox Airfield",Lancaster,California,"United States"
3814,YDC,"Drayton Valley Industrial Airport","Drayton Valley",Alberta,Canada
3815,YSC,"Sherbrooke Airport",Sherbrooke,Quebec,Canada
3816,DYN,"Danyang Railway Station",Danyang,,China
3817,AGD,"Anggi Airport",Anggi,,Indonesia
3818,ASK,"Yamoussoukro Airport",Yamoussoukro,,"Côte d'Ivoire"
3819,BER,"All airports in Berlin",Berlin,,Germany
3820,BPD,"Bapi Airport",Bapi,,"Papua New Guinea"
3821,CBH,"Boudghene Ben Ali Lotfi Airport",Béchar,,Algeria
3822,CMV,"Coromandel Airport",Coromandel,,"New Zealand"
3823,CZW,"Rudniki Airport",Cz?stochowa,,Poland
3824,DVO,"Francisco Bangoy International Airport","Davao City",,Philippines
3825,EVV,"Evansville Regional Airport",Evansville,Indiana,"United States"
3826,GAW,"Gangaw Airport",Gangaw,,"Myanmar (Burma)"
3827,GTS,"Granite Downs Airport","Granite Downs","South Australia",Australia
3828,HOQ,"Hof Airport (Plauen Airport)",Hof,Bavaria,Germany
3829,INS,"Creech Air Force Base","Indian Springs",Nevada,"United States"
3830,JOE,"Joensuu Airport",Joensuu,,Finland
3831,KIN,"Norman Manley International Airport",Kingston,,Jamaica
3832,LKG,"Lokichoggio Airport",Lokichoggio,,Kenya
3833,NTO,"Agostinho Neto Airport","Ponta DO Sol","Santo Antão","Cape Verde"
3834,PCA,"Portage Creek Airport","Portage Creek",Alaska,"United States"
3835,PUZ,"Puerto Cabezas Airport","Puerto Cabezas",,Nicaragua
3836,RTB,"Juan Manuel Gálvez International Airport",Roatán,,Honduras
3837,SMV,"Samedan Airport (Engadin Airport)","St. Moritz / Samedan",,Switzerland
3838,TEI,"Tezu Airport",Tezu,"Arunachal Pradesh",India
3839,UGS,"Ugashik Airport",Ugashik,Alaska,"United States"
3840,WJU,"Wonju Airport",Wonju,,"South Korea"
3841,YDE,"Paradise River Airport","Paradise River","Newfoundland and Labrador",Canada
3842,YSD,"CFB Suffield",Suffield,Alberta,Canada
3843,EEP,"Pamplona Railway Station",Pamplona,,Spain
3844,AGE,"Wangerooge Airport",Wangerooge,"Lower Saxony",Germany
3845,ASL,"Harrison County Airport",Marshall,Texas,"United States"
3846,BES,"Brest Bretagne Airport",Brest,,France
3847,BPF,"Batuna Airport",Batuna,,"Solomon Islands"
3848,CBI,"Cape Barren Island Airport","Cape Barren Island",Tasmania,Australia
3849,CMW,"Camagüey-Ignacio Agramonte Airport",Camagüey,,Cuba
3850,CZX,"Changzhou Benniu Airport",Changzhou,Jiangsu,China
3851,DVP,"Davenport Downs Airport","Davenport Downs",Queensland,Australia
3852,EVW,"Evanston-Uinta County Burns Field",Evanston,Wyoming,"United States"
3853,GAX,"Gamba Airport",Gamba,,Gabon
3854,GTT,"Georgetown Airport",Georgetown,Queensland,Australia
3855,HOR,"Horta Airport",Horta,Azores,Portugal
3856,INT,"Smith Reynolds Airport",Winston-Salem,"North Carolina","United States"
3857,JOG,"Adisucipto International Airport",Yogyakarta,,Indonesia
3858,KIO,"Kili Airport","Kili Island",,"Marshall Islands"
3859,KVB,"Skövde Airport",Skövde,,Sweden
3860,LKK,"Kulik Lake Airport","Kulik Lake","Bristol Bay Borough","United States"
3861,LYT,"Lady Elliot Island Airport","Lady Elliot Island",Queensland,Australia
3862,MKD,"Chagni Airport",Chagni,,Ethiopia
3863,MVE,"Montevideo-Chippewa County Airport",Montevideo,Minnesota,"United States"
